epoch,train_loss,valid_loss,recon_mse,time
267,-3.1740875244140625,-2.990351438522339,0.028384873643517494,00:01
268,-3.1714136600494385,-2.9936673641204834,0.028596410527825356,00:01
269,-3.167707920074463,-2.9989545345306396,0.028707876801490784,00:01
270,-3.1690707206726074,-2.9838058948516846,0.02878517471253872,00:01
271,-3.173377513885498,-2.9742279052734375,0.028936976566910744,00:01
272,-3.177145481109619,-2.9787371158599854,0.028337614610791206,00:01
273,-3.1705005168914795,-2.9880611896514893,0.02843174897134304,00:01
274,-3.1705195903778076,-2.9853665828704834,0.028815502300858498,00:01
275,-3.1833009719848633,-2.996034860610962,0.02843574434518814,00:01
276,-3.1765034198760986,-2.983708620071411,0.028706707060337067,00:01
277,-3.1796672344207764,-2.987605094909668,0.028619540855288506,00:01
278,-3.1782209873199463,-2.9905166625976562,0.028350749984383583,00:01
279,-3.182365655899048,-2.9884753227233887,0.02864214777946472,00:01
280,-3.189405679702759,-2.9924254417419434,0.028277095407247543,00:01
281,-3.1838271617889404,-2.972728967666626,0.02869924157857895,00:01
282,-3.173271894454956,-2.9793972969055176,0.028717394918203354,00:01
283,-3.1811046600341797,-2.9840035438537598,0.028290878981351852,00:01
284,-3.169100761413574,-2.9663870334625244,0.029389355331659317,00:01
285,-3.1863300800323486,-2.978856086730957,0.02863633632659912,00:01
286,-3.1804490089416504,-2.992042303085327,0.028495339676737785,00:01
287,-3.176564931869507,-2.9775004386901855,0.0290649626404047,00:01
288,-3.185695171356201,-2.9867916107177734,0.02825823426246643,00:01
289,-3.193725109100342,-2.986090898513794,0.02819388546049595,00:01
290,-3.185364007949829,-2.988847255706787,0.028400616720318794,00:01
291,-3.191009283065796,-2.9801108837127686,0.02803109586238861,00:01
292,-3.1848387718200684,-2.9830007553100586,0.028318865224719048,00:01
293,-3.1919960975646973,-2.987757682800293,0.028523480519652367,00:01
294,-3.199965000152588,-2.9735193252563477,0.028545891866087914,00:01
295,-3.1980249881744385,-2.9966366291046143,0.02851005643606186,00:01
296,-3.196843385696411,-2.9869954586029053,0.028353359550237656,00:01
297,-3.1962318420410156,-2.9797754287719727,0.028374282643198967,00:01
298,-3.184079647064209,-2.972445011138916,0.028736751526594162,00:01
299,-3.1844608783721924,-2.9890811443328857,0.028610678389668465,00:01
300,-3.19236421585083,-2.984010696411133,0.02851066365838051,00:01
301,-3.195322036743164,-2.964520215988159,0.028618402779102325,00:01
302,-3.1809616088867188,-2.9775378704071045,0.02886262536048889,00:01
303,-3.1975133419036865,-2.9813530445098877,0.028566300868988037,00:01
304,-3.1952602863311768,-2.985050678253174,0.028179068118333817,00:01
305,-3.201237440109253,-2.988394260406494,0.028251884505152702,00:01
306,-3.187344789505005,-2.9897444248199463,0.028406918048858643,00:01
307,-3.1970765590667725,-2.9808144569396973,0.02816997841000557,00:01
308,-3.201402187347412,-2.9830057621002197,0.0282149538397789,00:01
309,-3.1900808811187744,-2.9831595420837402,0.028199613094329834,00:01
310,-3.2078685760498047,-2.9824483394622803,0.02819674462080002,00:01
311,-3.2053422927856445,-2.986541271209717,0.027973011136054993,00:01
312,-3.204516887664795,-2.9768803119659424,0.02823328599333763,00:01
313,-3.208329677581787,-2.984282970428467,0.02826145477592945,00:01
314,-3.200648784637451,-2.9840214252471924,0.028454096987843513,00:01
315,-3.1968727111816406,-2.9815030097961426,0.028517650440335274,00:01
316,-3.1951591968536377,-2.97784161567688,0.028269873932003975,00:01
317,-3.1985127925872803,-2.9782915115356445,0.02856345847249031,00:01
318,-3.206166982650757,-2.9800240993499756,0.028398297727108,00:01
319,-3.210158586502075,-2.9769809246063232,0.02826741710305214,00:01
320,-3.2134792804718018,-2.979429006576538,0.028038399294018745,00:01
321,-3.203322410583496,-2.9789628982543945,0.028370898216962814,00:01
322,-3.2102255821228027,-2.9850881099700928,0.028248343616724014,00:01
323,-3.212754964828491,-2.985440492630005,0.028102267533540726,00:01
324,-3.2095766067504883,-2.9807815551757812,0.028345320373773575,00:01
325,-3.209109306335449,-2.9819774627685547,0.028551975265145302,00:01
326,-3.215754508972168,-2.9836087226867676,0.028146818280220032,00:01
327,-3.2089362144470215,-2.9766368865966797,0.02809024415910244,00:01
328,-3.2069926261901855,-2.9877843856811523,0.028192395344376564,00:01
329,-3.2066750526428223,-2.9761672019958496,0.02832728996872902,00:01
330,-3.2212648391723633,-2.9742112159729004,0.02819547988474369,00:01
331,-3.218594551086426,-2.977285146713257,0.028163932263851166,00:01
332,-3.213212251663208,-2.978631019592285,0.028357654809951782,00:01
333,-3.2081453800201416,-2.965404510498047,0.028230898082256317,00:01
334,-3.217526912689209,-2.976393222808838,0.028289400041103363,00:01
335,-3.2182984352111816,-2.9680070877075195,0.028119223192334175,00:01
336,-3.210635185241699,-2.97251558303833,0.028156671673059464,00:01
337,-3.2237396240234375,-2.9745349884033203,0.028154801577329636,00:01
338,-3.2152576446533203,-2.971095561981201,0.0284342672675848,00:01
339,-3.2127788066864014,-2.9804160594940186,0.028122611343860626,00:01
340,-3.218414783477783,-2.977018117904663,0.02793416939675808,00:01
341,-3.23059344291687,-2.9749209880828857,0.027992919087409973,00:01
342,-3.2275285720825195,-2.968055248260498,0.02798144891858101,00:01
343,-3.2167797088623047,-2.977238178253174,0.028097638860344887,00:01
344,-3.220146417617798,-2.9726722240448,0.028124526143074036,00:01
345,-3.2037577629089355,-2.9667165279388428,0.028104670345783234,00:01
346,-3.2171735763549805,-2.9780571460723877,0.02829539217054844,00:01
347,-3.230276584625244,-2.9748191833496094,0.028217559680342674,00:01
348,-3.228346586227417,-2.9797511100769043,0.027974138036370277,00:01
349,-3.2336366176605225,-2.9751007556915283,0.02818470261991024,00:01
350,-3.226060152053833,-2.9652860164642334,0.028118275105953217,00:01
351,-3.2193822860717773,-2.9739813804626465,0.028107378631830215,00:01
352,-3.227947950363159,-2.9685871601104736,0.028258994221687317,00:01
353,-3.2300941944122314,-2.9729747772216797,0.028317198157310486,00:01
354,-3.231566905975342,-2.9729042053222656,0.027912449091672897,00:01
355,-3.234225273132324,-2.9655661582946777,0.028040027245879173,00:01
356,-3.221615791320801,-2.9624900817871094,0.02822628989815712,00:01
357,-3.2337398529052734,-2.976468563079834,0.028037576004862785,00:01
358,-3.233564853668213,-2.9730377197265625,0.028072210028767586,00:01
359,-3.2390761375427246,-2.9699513912200928,0.02811986580491066,00:01
360,-3.224790573120117,-2.969925880432129,0.028149578720331192,00:01
361,-3.2371985912323,-2.968635320663452,0.028019219636917114,00:01
362,-3.2362194061279297,-2.966508388519287,0.02814977802336216,00:01
363,-3.2399685382843018,-2.9676761627197266,0.028124557808041573,00:01
364,-3.228259325027466,-2.977086067199707,0.02794167771935463,00:01
365,-3.231501817703247,-2.9706332683563232,0.028166158124804497,00:01
366,-3.23663592338562,-2.9760611057281494,0.028094518929719925,00:01
367,-3.239316701889038,-2.967325448989868,0.027941381558775902,00:01
368,-3.2294225692749023,-2.9697744846343994,0.028387047350406647,00:01
369,-3.241990804672241,-2.970710277557373,0.028073037043213844,00:01
370,-3.239316701889038,-2.9598870277404785,0.028243286535143852,00:01
371,-3.2395126819610596,-2.967711925506592,0.027966246008872986,00:01
372,-3.2347609996795654,-2.9692864418029785,0.0283350870013237,00:01
373,-3.240419626235962,-2.9686992168426514,0.027860362082719803,00:01
374,-3.2410144805908203,-2.9618988037109375,0.027943499386310577,00:01
